time_iso8601,stars_cumulative
2023-04-14 00:00:00+00:00,654
2023-04-15 00:00:00+00:00,655
2023-04-16 00:00:00+00:00,656
2023-04-18 00:00:00+00:00,658
2023-04-19 00:00:00+00:00,660
2023-04-20 00:00:00+00:00,661
2023-04-24 00:00:00+00:00,662
2023-04-25 00:00:00+00:00,663
2023-04-29 00:00:00+00:00,664
2023-04-30 00:00:00+00:00,666
2023-05-01 00:00:00+00:00,667
2023-05-02 00:00:00+00:00,668
2023-05-04 00:00:00+00:00,669
2023-05-05 00:00:00+00:00,670
2023-05-06 00:00:00+00:00,671
2023-05-09 00:00:00+00:00,674
2023-05-10 00:00:00+00:00,675
2023-05-12 00:00:00+00:00,676
2023-05-13 00:00:00+00:00,677
2023-05-14 00:00:00+00:00,678
2023-05-15 00:00:00+00:00,680
2023-05-16 00:00:00+00:00,681
2023-05-17 00:00:00+00:00,683
2023-05-18 00:00:00+00:00,684
2023-05-21 00:00:00+00:00,685
2023-05-24 00:00:00+00:00,686
2023-05-25 00:00:00+00:00,687
2023-05-26 00:00:00+00:00,688
2023-05-27 00:00:00+00:00,689
2023-06-01 00:00:00+00:00,690
2023-06-05 00:00:00+00:00,691
2023-06-06 00:00:00+00:00,693
2023-06-08 00:00:00+00:00,697
2023-06-09 00:00:00+00:00,698
2023-06-10 00:00:00+00:00,699
2023-06-12 00:00:00+00:00,701
2023-06-14 00:00:00+00:00,702
2023-06-17 00:00:00+00:00,703
2023-06-18 00:00:00+00:00,704
2023-06-19 00:00:00+00:00,705
2023-06-21 00:00:00+00:00,706
2023-06-22 00:00:00+00:00,707
2023-06-23 00:00:00+00:00,708
2023-06-25 00:00:00+00:00,711
2023-06-26 00:00:00+00:00,712
2023-06-28 00:00:00+00:00,713
2023-06-29 00:00:00+00:00,714
2023-06-30 00:00:00+00:00,715
2023-07-01 00:00:00+00:00,716
2023-07-03 00:00:00+00:00,717
2023-07-08 00:00:00+00:00,718
2023-07-11 00:00:00+00:00,722
2023-07-12 00:00:00+00:00,724
2023-07-13 00:00:00+00:00,726
2023-07-14 00:00:00+00:00,727
2023-07-20 00:00:00+00:00,728
2023-07-24 00:00:00+00:00,729
2023-07-25 00:00:00+00:00,734
2023-07-26 00:00:00+00:00,735
2023-07-27 00:00:00+00:00,739
2023-07-28 00:00:00+00:00,741
2023-07-31 00:00:00+00:00,743
2023-08-02 00:00:00+00:00,744
2023-08-03 00:00:00+00:00,745
2023-08-05 00:00:00+00:00,746
2023-08-06 00:00:00+00:00,747
2023-08-09 00:00:00+00:00,749
2023-08-10 00:00:00+00:00,750
2023-08-11 00:00:00+00:00,753
2023-08-13 00:00:00+00:00,756
2023-08-14 00:00:00+00:00,758
2023-08-15 00:00:00+00:00,762
2023-08-16 00:00:00+00:00,763
2023-08-20 00:00:00+00:00,766
2023-08-21 00:00:00+00:00,769
2023-08-22 00:00:00+00:00,770
2023-08-23 00:00:00+00:00,771
2023-08-24 00:00:00+00:00,773
2023-08-25 00:00:00+00:00,774
2023-08-27 00:00:00+00:00,776
2023-08-29 00:00:00+00:00,777
2023-08-30 00:00:00+00:00,779
2023-08-31 00:00:00+00:00,782
2023-09-04 00:00:00+00:00,783
2023-09-05 00:00:00+00:00,784
2023-09-07 00:00:00+00:00,785
2023-09-08 00:00:00+00:00,786
2023-09-11 00:00:00+00:00,790
2023-09-12 00:00:00+00:00,792
2023-09-14 00:00:00+00:00,794
2023-09-15 00:00:00+00:00,795
2023-09-18 00:00:00+00:00,796
2023-09-21 00:00:00+00:00,798
2023-09-22 00:00:00+00:00,801
2023-09-23 00:00:00+00:00,803
2023-09-25 00:00:00+00:00,805
2023-09-26 00:00:00+00:00,806
2023-09-28 00:00:00+00:00,809
2023-09-29 00:00:00+00:00,810
2023-09-30 00:00:00+00:00,811
2023-10-01 00:00:00+00:00,812
2023-10-02 00:00:00+00:00,813
2023-10-03 00:00:00+00:00,814
2023-10-04 00:00:00+00:00,815
2023-10-07 00:00:00+00:00,816
2023-10-08 00:00:00+00:00,818
2023-10-12 00:00:00+00:00,819
2023-10-13 00:00:00+00:00,821
2023-10-15 00:00:00+00:00,823
2023-10-19 00:00:00+00:00,825
2023-10-23 00:00:00+00:00,827
2023-10-24 00:00:00+00:00,829
2023-10-25 00:00:00+00:00,831
2023-10-26 00:00:00+00:00,833
2023-10-27 00:00:00+00:00,834
2023-10-29 00:00:00+00:00,835
2023-11-01 00:00:00+00:00,836
2023-11-02 00:00:00+00:00,838
2023-11-04 00:00:00+00:00,839
2023-11-06 00:00:00+00:00,841
2023-11-07 00:00:00+00:00,842
2023-11-08 00:00:00+00:00,843
2023-11-09 00:00:00+00:00,847
2023-11-11 00:00:00+00:00,849
2023-11-13 00:00:00+00:00,850
2023-11-16 00:00:00+00:00,852
2023-11-17 00:00:00+00:00,853
2023-11-20 00:00:00+00:00,854
2023-11-21 00:00:00+00:00,855
2023-11-22 00:00:00+00:00,858
2023-11-23 00:00:00+00:00,860
2023-11-28 00:00:00+00:00,863
2023-11-29 00:00:00+00:00,866
2023-11-30 00:00:00+00:00,867
2023-12-01 00:00:00+00:00,869
2023-12-06 00:00:00+00:00,870
2023-12-07 00:00:00+00:00,871
2023-12-08 00:00:00+00:00,872
2023-12-09 00:00:00+00:00,873
2023-12-11 00:00:00+00:00,874
2023-12-12 00:00:00+00:00,875
2023-12-13 00:00:00+00:00,877
2023-12-14 00:00:00+00:00,879
2023-12-15 00:00:00+00:00,880
2023-12-16 00:00:00+00:00,882
2023-12-17 00:00:00+00:00,883
2023-12-18 00:00:00+00:00,885
2023-12-20 00:00:00+00:00,895
2023-12-21 00:00:00+00:00,898
2023-12-22 00:00:00+00:00,901
2023-12-23 00:00:00+00:00,902
2023-12-27 00:00:00+00:00,907
2023-12-28 00:00:00+00:00,908
2023-12-29 00:00:00+00:00,911
2023-12-30 00:00:00+00:00,913
2024-01-01 00:00:00+00:00,914
2024-01-02 00:00:00+00:00,915
2024-01-05 00:00:00+00:00,917
2024-01-06 00:00:00+00:00,918
2024-01-07 00:00:00+00:00,919
2024-01-08 00:00:00+00:00,922
2024-01-10 00:00:00+00:00,924
2024-01-12 00:00:00+00:00,926
2024-01-13 00:00:00+00:00,927
2024-01-15 00:00:00+00:00,930
2024-01-18 00:00:00+00:00,932
2024-01-21 00:00:00+00:00,935
2024-01-23 00:00:00+00:00,943
2024-01-24 00:00:00+00:00,954
2024-01-25 00:00:00+00:00,962
2024-01-27 00:00:00+00:00,963
2024-01-28 00:00:00+00:00,966
2024-01-29 00:00:00+00:00,968
2024-01-30 00:00:00+00:00,971
2024-01-31 00:00:00+00:00,974
2024-02-01 00:00:00+00:00,975
2024-02-05 00:00:00+00:00,976
2024-02-07 00:00:00+00:00,977
2024-02-08 00:00:00+00:00,978
2024-02-09 00:00:00+00:00,979
2024-02-10 00:00:00+00:00,981
2024-02-12 00:00:00+00:00,985
2024-02-13 00:00:00+00:00,992
2024-02-14 00:00:00+00:00,995
2024-02-15 00:00:00+00:00,998
2024-02-24 00:00:00+00:00,999
2024-02-25 00:00:00+00:00,1000
2024-02-26 00:00:00+00:00,1001
2024-02-27 00:00:00+00:00,1002
2024-02-28 00:00:00+00:00,1003
2024-03-03 00:00:00+00:00,1004
2024-03-04 00:00:00+00:00,1005
2024-03-05 00:00:00+00:00,1009
2024-03-06 00:00:00+00:00,1011
2024-03-08 00:00:00+00:00,1013
2024-03-10 00:00:00+00:00,1014
2024-03-12 00:00:00+00:00,1015
2024-03-13 00:00:00+00:00,1016
2024-03-14 00:00:00+00:00,1017
2024-03-15 00:00:00+00:00,1018
2024-03-19 00:00:00+00:00,1019
2024-03-21 00:00:00+00:00,1020
2024-03-26 00:00:00+00:00,1025
2024-03-27 00:00:00+00:00,1027
2024-03-28 00:00:00+00:00,1029
2024-03-29 00:00:00+00:00,1030
2024-03-30 00:00:00+00:00,1032
2024-04-04 00:00:00+00:00,1033
2024-04-05 00:00:00+00:00,1035
2024-04-08 00:00:00+00:00,1036
2024-04-09 00:00:00+00:00,1038
2024-04-11 00:00:00+00:00,1040
2024-04-13 00:00:00+00:00,1041
2024-04-16 00:00:00+00:00,1043
2024-04-19 00:00:00+00:00,1044
2024-04-20 00:00:00+00:00,1045
2024-04-22 00:00:00+00:00,1047
2024-04-23 00:00:00+00:00,1049
2024-04-25 00:00:00+00:00,1051
2024-04-27 00:00:00+00:00,1053
2024-04-30 00:00:00+00:00,1055
2024-05-02 00:00:00+00:00,1056
2024-05-03 00:00:00+00:00,1057
2024-05-05 00:00:00+00:00,1061
2024-05-06 00:00:00+00:00,1063
2024-05-07 00:00:00+00:00,1064
2024-05-09 00:00:00+00:00,1065
2024-05-10 00:00:00+00:00,1066
2024-05-13 00:00:00+00:00,1067
2024-05-14 00:00:00+00:00,1070
2024-05-16 00:00:00+00:00,1072
2024-05-18 00:00:00+00:00,1074
2024-05-20 00:00:00+00:00,1078
2024-05-21 00:00:00+00:00,1080
2024-05-23 00:00:00+00:00,1083
2024-05-24 00:00:00+00:00,1099
2024-05-25 00:00:00+00:00,1105
2024-05-26 00:00:00+00:00,1109
2024-05-27 00:00:00+00:00,1112
2024-05-29 00:00:00+00:00,1113
2024-05-30 00:00:00+00:00,1115
2024-05-31 00:00:00+00:00,1117
2024-06-01 00:00:00+00:00,1118
2024-06-02 00:00:00+00:00,1120
2024-06-03 00:00:00+00:00,1122
2024-06-04 00:00:00+00:00,1123
2024-06-05 00:00:00+00:00,1126
2024-06-06 00:00:00+00:00,1128
2024-06-07 00:00:00+00:00,1129
2024-06-11 00:00:00+00:00,1132
2024-06-12 00:00:00+00:00,1134
2024-06-13 00:00:00+00:00,1136
2024-06-16 00:00:00+00:00,1139
2024-06-17 00:00:00+00:00,1140
2024-06-19 00:00:00+00:00,1141
2024-06-20 00:00:00+00:00,1142
2024-06-21 00:00:00+00:00,1143
2024-06-22 00:00:00+00:00,1146
2024-06-23 00:00:00+00:00,1147
2024-06-24 00:00:00+00:00,1153
2024-06-25 00:00:00+00:00,1154
2024-06-28 00:00:00+00:00,1156
2024-07-01 00:00:00+00:00,1159
2024-07-02 00:00:00+00:00,1160
2024-07-03 00:00:00+00:00,1161
2024-07-04 00:00:00+00:00,1162
2024-07-05 00:00:00+00:00,1163
2024-07-09 00:00:00+00:00,1164
2024-07-10 00:00:00+00:00,1167
2024-07-11 00:00:00+00:00,1168
2024-07-12 00:00:00+00:00,1169
2024-07-13 00:00:00+00:00,1170
2024-07-15 00:00:00+00:00,1171
2024-07-17 00:00:00+00:00,1173
2024-07-18 00:00:00+00:00,1174
2024-07-19 00:00:00+00:00,1176
2024-07-21 00:00:00+00:00,1177
2024-07-23 00:00:00+00:00,1179
2024-07-24 00:00:00+00:00,1180
2024-07-25 00:00:00+00:00,1182
2024-07-26 00:00:00+00:00,1184
2024-07-28 00:00:00+00:00,1185
2024-07-29 00:00:00+00:00,1188
2024-07-30 00:00:00+00:00,1189
2024-08-01 00:00:00+00:00,1190
2024-08-02 00:00:00+00:00,1193
2024-08-05 00:00:00+00:00,1194
2024-08-07 00:00:00+00:00,1196
